date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,551.37,561.21,549.73,560.01,560.01,3070159,3070159,8.64,1.57,555.58,"July 01, 24",0.0157
2024-06-28,549.7,558.48,548.01,555.54,555.54,5084543,5084543,5.84,1.06,552.9325,"June 28, 24",0.0106
2024-06-27,533.21,549.16,532.1,546.76,546.76,4734063,4734063,13.55,2.54,540.3075,"June 27, 24",0.0254
2024-06-26,528.58,530.66,526.01,528.66,528.66,2931667,2931667,0.08,0.01513489,528.4775,"June 26, 24",0.0001513489
2024-06-25,526.2,529.68,522.24,526.88,526.88,3144202,3144202,0.68,0.12923,526.25,"June 25, 24",0.0012923
2024-06-24,532.1,534.58,523.48,524.17,524.17,3067824,3067824,-7.93,-1.49,528.5825,"June 24, 24",-0.0149
2024-06-21,530.31,535.0,524.72,533.44,533.44,6614086,6614086,3.13,0.59022,530.8675,"June 21, 24",0.0059022
2024-06-20,527.67,533.23,520.4,522.95,522.95,5752373,5752373,-4.71,-0.8945,526.0625,"June 20, 24",-0.008945
2024-06-18,514.71,530.37,513.13,522.25,522.25,4225943,4225943,7.54,1.46,520.115,"June 18, 24",0.0146
2024-06-17,525.51,525.94,505.38,518.74,518.74,7163820,7163820,-6.77,-1.29,518.8925,"June 17, 24",-0.0129
2024-06-14,530.25,534.45,521.88,525.31,525.31,14846614,14846614,-4.94,-0.93164,527.9725,"June 14, 24",-0.0093164
2024-06-13,457.87,462.39,453.5,458.74,458.74,8557963,8557963,0.87,0.19001,458.125,"June 13, 24",0.0019001
2024-06-12,470.0,471.12,459.16,459.87,459.87,3647447,3647447,-10.13,-2.16,465.0375,"June 12, 24",-0.0216
2024-06-11,456.91,462.74,455.5,462.69,462.69,2723659,2723659,5.78,1.27,459.46,"June 11, 24",0.0127
2024-06-10,453.84,462.23,451.51,459.94,459.94,3212350,3212350,6.1,1.34,456.88,"June 10, 24",0.0134
2024-06-07,458.13,468.93,458.13,465.43,465.43,2684170,2684170,7.3,1.59,462.655,"June 07, 24",0.0159
2024-06-06,457.7,467.85,456.87,458.13,458.13,3234970,3234970,0.43,0.093948,460.1375,"June 06, 24",0.00093948
2024-06-05,449.19,458.6,448.37,455.8,455.8,3295029,3295029,6.61,1.47,452.99,"June 05, 24",0.0147
2024-06-04,442.82,450.12,441.59,448.37,448.37,3183594,3183594,5.55,1.25,445.725,"June 04, 24",0.0125
2024-06-03,447.58,449.84,436.58,439.02,439.02,3967669,3967669,-8.56,-1.91,443.255,"June 03, 24",-0.0191
2024-05-31,447.72,448.23,433.97,444.76,444.76,7487507,7487507,-2.96,-0.66113,443.67,"May 31, 24",-0.0066113
2024-05-30,464.9,466.82,444.84,445.87,445.87,5606896,5606896,-19.03,-4.09,455.6075,"May 30, 24",-0.0409
2024-05-29,472.78,482.79,472.6,477.6,477.6,2214810,2214810,4.82,1.02,476.4425,"May 29, 24",0.0102
2024-05-28,473.01,478.67,469.6,478.43,478.43,2575270,2575270,5.42,1.15,474.9275,"May 28, 24",0.0115
2024-05-24,481.25,485.38,473.9,475.43,475.43,3085605,3085605,-5.82,-1.21,478.99,"May 24, 24",-0.0121
2024-05-23,488.38,491.68,478.69,483.31,483.31,2219854,2219854,-5.07,-1.04,485.515,"May 23, 24",-0.0104
2024-05-22,483.97,485.67,479.14,483.93,483.93,1875835,1875835,-0.04,-0.00826498,483.1775,"May 22, 24",-8.26498e-05
2024-05-21,481.19,487.5,477.12,481.85,481.85,1915797,1915797,0.66,0.13716,481.915,"May 21, 24",0.0013716
2024-05-20,483.0,485.37,478.32,484.69,484.69,1881117,1881117,1.69,0.3499,482.845,"May 20, 24",0.003499
2024-05-17,483.32,485.88,481.52,483.43,483.43,2261147,2261147,0.11,0.02275925,483.5375,"May 17, 24",0.0002275925
2024-05-16,484.7,486.23,481.39,482.88,482.88,2562865,2562865,-1.82,-0.37549,483.8,"May 16, 24",-0.0037549
2024-05-15,480.76,489.61,476.61,485.35,485.35,3491638,3491638,4.59,0.95474,483.0825,"May 15, 24",0.0095474
2024-05-14,480.41,481.8,466.48,475.95,475.95,4287846,4287846,-4.46,-0.92837,476.16,"May 14, 24",-0.0092837
2024-05-13,486.24,490.16,481.71,483.11,483.11,2458192,2458192,-3.13,-0.64372,485.305,"May 13, 24",-0.0064372
2024-05-10,483.5,489.48,480.3,482.29,482.29,2741116,2741116,-1.21,-0.25026,483.8925,"May 10, 24",-0.0025026
2024-05-09,489.41,490.44,481.65,482.65,482.65,2301635,2301635,-6.76,-1.38,486.0375,"May 09, 24",-0.0138
2024-05-08,489.97,495.81,486.92,488.1,488.1,2165021,2165021,-1.87,-0.38166,490.2,"May 08, 24",-0.0038166
2024-05-07,492.51,496.76,489.14,492.27,492.27,2518346,2518346,-0.24,-0.04872998,492.67,"May 07, 24",-0.0004872998
2024-05-06,490.1,495.44,488.0,493.59,493.59,2104030,2104030,3.49,0.7121,491.7825,"May 06, 24",0.007121
2024-05-03,482.27,487.49,477.57,486.18,486.18,2833186,2833186,3.91,0.81075,483.3775,"May 03, 24",0.0081075
2024-05-02,474.3,477.16,468.3,476.57,476.57,2516422,2516422,2.27,0.4786,474.0825,"May 02, 24",0.004786
2024-05-01,461.12,477.76,460.36,469.39,469.39,2490171,2490171,8.27,1.79,467.1575,"May 01, 24",0.0179
2024-04-30,472.0,475.42,462.46,462.83,462.83,3222618,3222618,-9.17,-1.94,468.1775,"April 30, 24",-0.0194
2024-04-29,478.04,481.68,471.07,473.07,473.07,2954736,2954736,-4.97,-1.04,475.965,"April 29, 24",-0.0104
2024-04-26,472.31,482.79,471.69,477.56,477.56,2460261,2460261,5.25,1.11,476.0875,"April 26, 24",0.0111
2024-04-25,468.41,474.5,465.78,473.44,473.44,2250913,2250913,5.03,1.07,470.5325,"April 25, 24",0.0107
2024-04-24,472.94,478.57,471.73,477.12,477.12,2338044,2338044,4.18,0.88383,475.09,"April 24, 24",0.0088383
2024-04-23,469.72,474.81,467.83,472.9,472.9,2205836,2205836,3.18,0.677,471.315,"April 23, 24",0.00677
2024-04-22,470.22,471.5,462.28,466.89,466.89,2604256,2604256,-3.32,-0.70818,467.7225,"April 22, 24",-0.0070818
2024-04-19,476.54,476.58,463.09,465.02,465.02,3282142,3282142,-11.52,-2.42,470.3075,"April 19, 24",-0.0242
